Episode,Steps,Epsilon
739,71,0.42924356846447326
740,73,0.4288143248960088
741,84,0.4283855105711128
742,56,0.4279571250605417
743,59,0.4275291679354811
744,68,0.42710163876754564
745,58,0.4266745371287781
746,66,0.4262478625916493
747,68,0.42582161472905766
748,83,0.4253957931143286
749,57,0.4249703973212143
750,77,0.4245454269238931
751,75,0.4241208814969692
752,71,0.42369676061547223
753,79,0.42327306385485675
754,55,0.4228497907910019
755,76,0.4224269410002109
756,76,0.4220045140592107
757,65,0.4215825095451515
758,69,0.4211609270356063
759,66,0.4207397661085707
760,67,0.42031902634246215
761,77,0.41989870731611967
762,55,0.41947880860880354
763,68,0.4190593298001947
764,65,0.41864027047039454
765,82,0.41822163019992414
766,74,0.4178034085697242
767,51,0.41738560516115447
768,72,0.41696821955599334
769,75,0.41655125133643733
770,85,0.4161347000851009
771,69,0.4157185653850158
772,80,0.41530284681963076
773,76,0.41488754397281113
774,64,0.41447265642883835
775,79,0.4140581837724095
776,89,0.41364412558863706
777,58,0.4132304814630484
778,81,0.4128172509815854
779,98,0.4124044337306038
780,66,0.41199202929687323
781,72,0.41158003726757636
782,72,0.41116845723030876
783,55,0.41075728877307843
784,82,0.41034653148430533
785,77,0.409936184952821
786,64,0.4095262487678682
787,43,0.4091167225191003
788,81,0.4087076057965812
789,78,0.40829889819078463
790,56,0.40789059929259386
791,52,0.4074827086933013
792,78,0.407075225984608
793,58,0.4066681507586234
794,66,0.40626148260786477
795,70,0.4058552211252569
796,75,0.40544936590413166
797,79,0.4050439165382275
798,72,0.4046388726216893
799,94,0.4042342337490676
800,66,0.4038299995153185
801,63,0.4034261695158032
802,57,0.40302274334628735
803,55,0.40261972060294104
804,65,0.4022171008823381
805,59,0.40181488378145575
806,60,0.4014130688976743
807,64,0.4010116558287766
808,66,0.40061064417294784
809,73,0.4002100335287749
810,61,0.3998098234952461
811,58,0.39941001367175083
812,66,0.39901060365807905
813,62,0.39861159305442095
814,71,0.3982129814613665
815,73,0.39781476847990516
816,90,0.39741695371142527
817,60,0.39701953675771384
818,61,0.39662251722095615
819,57,0.3962258947037352
820,74,0.3958296688090315
821,61,0.39543383914022245
822,85,0.39503840530108225
823,70,0.39464336689578117
824,70,0.3942487235288854
